Provider_ID,Members,BP_Control_Rate,A1c_Control_Rate,LDL_Control_Rate,Avg_PMPM,ER_Visits_per_1000,Admit_Rate_per_1000,Readmission_Rate,BPD_Closure,CBP_Closure,COA_Closure,GSD_Closure,LSC_Closure,PPC_Closure,TRC_Closure,WCC_Closure,Chronic_Score,Preventive_Score,Care_Coordination_Score,Behavioral_Score,Composite_VBC_Score,Provider_Tier
P0009,57,0.5087719298245614,0.7719298245614035,0.24561403508771928,875.261444798392,491.2280701754386,280.7017543859649,0.5614035087719298,0.5454545454545454,0.4857142857142857,0.6052631578947368,0.6129032258064516,0.45454545454545453,0.7741935483870968,0.5714285714285714,0.43243243243243246,0.5087719298245613,0.5094238975817923,0.6728110599078341,0.6129032258064516,0.5625885660096186,Gold
P0020,64,0.515625,0.78125,0.3125,828.718057764047,421.875,140.625,0.578125,0.5,0.4888888888888889,0.5957446808510638,0.6595744680851063,0.575,0.5476190476190477,0.425531914893617,0.59375,0.5364583333333334,0.5661236702127659,0.4865754812563323,0.6595744680851063,0.5594112841945289,Gold
P0162,47,0.5957446808510638,0.8297872340425532,0.1702127659574468,851.929365972151,574.468085106383,42.5531914893617,0.48936170212765956,0.6666666666666666,0.46875,0.5185185185185185,0.5483870967741935,0.4117647058823529,0.6896551724137931,0.5588235294117647,0.53125,0.5319148936170213,0.5320499727668845,0.6242393509127789,0.5483870967741935,0.553712047869569,Gold
P0028,68,0.5441176470588235,0.7205882352941176,0.16176470588235295,864.7022453043855,382.35294117647055,102.94117647058823,0.5882352941176471,0.5609756097560976,0.391304347826087,0.5853658536585366,0.6666666666666666,0.5116279069767442,0.5576923076923077,0.58,0.5434782608695652,0.4754901960784314,0.550361907815236,0.5688461538461538,0.6666666666666666,0.5533607610359281,Gold
P0195,63,0.5079365079365079,0.746031746031746,0.31746031746031744,859.4358309584504,523.8095238095239,95.23809523809523,0.5873015873015873,0.5681818181818182,0.625,0.4523809523809524,0.7073170731707317,0.5116279069767442,0.5,0.45714285714285713,0.5384615384615384,0.5238095238095238,0.5176630540002634,0.47857142857142854,0.7073170731707317,0.5497424030875534,Gold
P0193,55,0.509090909090909,0.7272727272727273,0.2545454545454545,848.8893686524355,381.8181818181818,127.27272727272727,0.5272727272727272,0.5405405405405406,0.5526315789473685,0.4594594594594595,0.5641025641025641,0.6,0.6176470588235294,0.6176470588235294,0.5882352941176471,0.4969696969696969,0.5470588235294118,0.6176470588235294,0.5641025641025641,0.5485566982037571,Gold
P0127,62,0.5967741935483871,0.6935483870967742,0.25806451612903225,845.1092663226727,483.8709677419355,193.54838709677418,0.45161290322580644,0.5609756097560976,0.4878048780487805,0.5,0.6428571428571429,0.627906976744186,0.4634146341463415,0.4782608695652174,0.5909090909090909,0.5161290322580646,0.5699479193523437,0.4708377518557795,0.6428571428571429,0.5474856866838214,Gold
P0068,77,0.6623376623376623,0.8181818181818182,0.2077922077922078,859.1628522972836,389.61038961038963,246.75324675324674,0.5714285714285714,0.5,0.625,0.5555555555555556,0.6037735849056604,0.5,0.46296296296296297,0.5166666666666667,0.5094339622641509,0.5627705627705628,0.5162473794549266,0.4898148148148148,0.6037735849056604,0.5433535262780547,Gold
P0048,58,0.6379310344827587,0.6379310344827587,0.22413793103448276,864.2167686125001,465.51724137931035,224.13793103448276,0.46551724137931033,0.45454545454545453,0.5882352941176471,0.5,0.5897435897435898,0.5641025641025641,0.5405405405405406,0.5945945945945946,0.6052631578947368,0.5,0.5309777941356889,0.5675675675675675,0.5897435897435898,0.5401360138202244,Gold
P0159,47,0.6808510638297872,0.7021276595744681,0.1702127659574468,862.4755366405991,319.1489361702128,297.8723404255319,0.5319148936170213,0.6666666666666666,0.6774193548387096,0.41379310344827586,0.5666666666666667,0.4375,0.4722222222222222,0.7096774193548387,0.5142857142857142,0.5177304964539007,0.5080613711001642,0.5909498207885304,0.5666666666666667,0.5394542402643336,Gold
